File_Name,Empowerment,Belonging,Incentivization,Reciprocity,Interest,Engagement,Cooperate
chat_0_relationship_0.txt,0,0,0,0,0,0,0
chat_0_relationship_1.txt,1,1,1,1,1,1,1
chat_0_relationship_2.txt,0,0,0,0,1,1,1
chat_0_relationship_3.txt,0,0,0,0,1,1,1
chat_0_relationship_4.txt,0,0,0,0,1,1,1
chat_0_relationship_5.txt,0,0,0,0,0,0,0
chat_0_relationship_6.txt,1,1,1,1,1,1,1
chat_0_relationship_7.txt,0,0,0,0,0,0,0
chat_0_relationship_8.txt,0,0,0,0,1,1,1
chat_0_relationship_9.txt,0,1,0,1,1,1,1
